arm,model_kind,topology,seeds,mean_test_accuracy,std_test_accuracy,mean_gain_vs_raw_temporal,mean_gain_vs_dense_lif,improved_seed_count_vs_dense_lif,one_point_seed_count_vs_dense_lif,mean_gain_vs_gru,mean_gain_vs_sparse_feedforward,hidden_units,active_edges,active_recurrent_edges,effective_trainable_parameters,parameter_ratio_vs_target,mean_final_activity,activity_kind,mean_absolute_ltw_change,mean_upper_ltw_saturation_rate,mean_train_seconds,mean_test_examples_per_second
event_count_mlp,event_count,raw_count,3,0.5191401648998822,0.013379496245979195,-0.25662544169611307,-0.21849234393404002,0,0,0.07449941107184925,-0.2750294464075383,128,0,0,92308,0.680341099212111,0.09931821886831797,input_event_rate,0.0,0.0,2.70845965866647,67576.3137238073
raw_temporal_pyramid,raw_temporal,raw_temporal,3,0.7757656065959954,0.004761767264074257,0.0,0.03813309776207304,3,3,0.3311248527679623,-0.018404004711425226,94,0,0,135346,0.9975456776656667,0.09931821886831797,input_event_rate,0.0,0.0,5.040314863333454,39856.83574089835
dense_lif_recurrent,dense_lif,dense_recurrent_lif,3,0.7376325088339222,0.01987468910948232,-0.03813309776207304,0.0,0,0,0.29299175500588925,-0.05653710247349827,128,0,0,135298,0.9971919014733305,0.200725919032827,hidden_spike_rate,0.0,0.0,27.60246629633366,9093.8492813566
gru_temporal,gru,dense_gru,3,0.44464075382803303,0.04147607773891562,-0.3311248527679623,-0.29299175500588925,0,0,0.0,-0.3495288574793875,58,0,0,133420,0.9833504079481717,0.6069977520071014,analog_activation,0.0,0.0,3.8196671519999654,55456.252523415664
sparse512_feedforward_pyramid,sparse_feedforward,sparse_feedforward_lif,3,0.7941696113074205,0.009397510834648393,0.018404004711425226,0.05653710247349827,3,3,0.3495288574793875,0.0,512,700,0,133631,0.9849055491269837,0.08337237443709121,hidden_spike_rate,0.015230657843252024,0.0014285714132711291,38.23009359900001,7385.0082287530195
sparse512_recurrent_pyramid,sparse_recurrent,sparse_recurrent_lif,3,0.798733804475854,0.0032723955787533903,0.02296819787985867,0.06110129564193171,3,3,0.354093050647821,0.004564193168433446,512,2748,2048,135679,1.0,0.13153093237127095,hidden_spike_rate,0.009401477252443632,0.0002426006831228733,37.859375774666354,7692.8143977612135
