seed,arm,model_kind,topology,hidden_units,train_accuracy,test_accuracy,active_edges,active_recurrent_edges,dynamics_parameters,effective_trainable_parameters,parameter_ratio_vs_target,initial_activity,final_activity,activity_kind,mean_absolute_ltw_change,upper_ltw_saturation_rate,train_seconds,inference_seconds,test_examples_per_second,gain_vs_raw_temporal,gain_vs_dense_lif,gain_vs_gru,gain_vs_sparse_feedforward
42,event_count_mlp,event_count,raw_count,128,0.6868563021088769,0.5225265017667845,0,0,0,92308,0.680341099212111,0.09931821886831796,0.09931821886831796,input_event_rate,0.0,0.0,2.8455027880008856,0.03465707300165377,65325.770583452504,-0.25839222614840984,-0.21333922261484095,0.07729681978798592,-0.2791519434628975
42,raw_temporal_pyramid,raw_temporal,raw_temporal,94,0.9646885728298186,0.7809187279151943,0,0,0,135346,0.9975456776656667,0.09931821886831796,0.09931821886831796,input_event_rate,0.0,0.0,4.97127974400064,0.053571438998915255,42261.325107317774,0.0,0.04505300353356889,0.33568904593639576,-0.02075971731448767
42,dense_lif_recurrent,dense_lif,dense_recurrent_lif,128,0.9474006866110839,0.7358657243816255,0,0,105984,135298,0.9971919014733305,0.05684562130130222,0.22159244788830357,hidden_spike_rate,0.0,0.0,27.80951398200159,0.23959289799859107,9449.361892243207,-0.04505300353356889,0.0,0.29063604240282687,-0.06581272084805656
42,gru_temporal,gru,dense_gru,58,0.8971309465424228,0.4452296819787986,0,0,132240,133420,0.9833504079481717,0.20974977082793367,0.5920719763415441,analog_activation,0.0,0.0,3.7597021569999924,0.04086405099951662,55403.219813590695,-0.33568904593639576,-0.29063604240282687,0.0,-0.3564487632508834
42,sparse512_feedforward_pyramid,sparse_feedforward,sparse_feedforward_lif,512,0.9310936733692987,0.801678445229682,700,0,2748,133631,0.9849055491269836,0.08281604005780742,0.0833564864557118,hidden_spike_rate,0.014716620557010174,0.0,38.15154476799944,0.31211149800037674,7253.817992944519,0.02075971731448767,0.06581272084805656,0.3564487632508834,0.0
42,sparse512_recurrent_pyramid,sparse_recurrent,sparse_recurrent_lif,512,0.9201814615007357,0.8003533568904594,2748,2048,2748,135679,1.0,0.13302019238471985,0.13241191645393102,hidden_spike_rate,0.009297694079577923,0.0,37.95375664200037,0.2910699439999007,7778.19918088407,0.019434628975265045,0.06448763250883394,0.3551236749116608,-0.0013250883392226243
43,event_count_mlp,event_count,raw_count,128,0.6733692986758215,0.5335689045936396,0,0,0,92308,0.680341099212111,0.09931821886831796,0.09931821886831796,input_event_rate,0.0,0.0,2.6922927999985404,0.03293930599829764,68732.47420929291,-0.24337455830388688,-0.22924028268551233,0.14001766784452296,-0.24734982332155475
43,raw_temporal_pyramid,raw_temporal,raw_temporal,94,0.9666503187837175,0.7769434628975265,0,0,0,135346,0.9975456776656667,0.09931821886831796,0.09931821886831796,input_event_rate,0.0,0.0,4.880849433000549,0.05600828099886712,40422.59393831055,0.0,0.014134275618374548,0.38339222614840984,-0.003975265017667873
43,dense_lif_recurrent,dense_lif,dense_recurrent_lif,128,0.9551250613045611,0.7628091872791519,0,0,105984,135298,0.9971919014733305,0.06748185978129559,0.18700487100825292,hidden_spike_rate,0.0,0.0,27.521970724999846,0.26237664300060715,8628.816856974427,-0.014134275618374548,0.0,0.3692579505300353,-0.01810954063604242
43,gru_temporal,gru,dense_gru,58,0.8616969102501226,0.39355123674911663,0,0,132240,133420,0.9833504079481717,0.20672834451333372,0.6026986275039377,analog_activation,0.0,0.0,3.854093042000386,0.04154248200029542,54498.42886094047,-0.38339222614840984,-0.3692579505300353,0.0,-0.3873674911660777
43,sparse512_feedforward_pyramid,sparse_feedforward,sparse_feedforward_lif,512,0.943477194703286,0.7809187279151943,700,0,2748,133631,0.9849055491269836,0.08294898769143613,0.08367524956856515,hidden_spike_rate,0.015265950933098793,0.0014285714132711291,38.10462010899937,0.30008554399864806,7544.515373290356,0.003975265017667873,0.01810954063604242,0.3873674911660777,0.0
43,sparse512_recurrent_pyramid,sparse_recurrent,sparse_recurrent_lif,512,0.9205492888670918,0.7941696113074205,2748,2048,2748,135679,1.0,0.130065985892771,0.13039802546635954,hidden_spike_rate,0.00926115456968546,0.0,37.77834361699934,0.2965186569999787,7635.269978982006,0.017226148409894004,0.03136042402826855,0.40061837455830385,0.013250883392226132
44,event_count_mlp,event_count,raw_count,128,0.693477194703286,0.5013250883392226,0,0,0,92308,0.680341099212111,0.09931821886831796,0.09931821886831796,input_event_rate,0.0,0.0,2.5875833879999846,0.03296893900005671,68670.69637867648,-0.2681095406360424,-0.21289752650176674,0.006183745583038858,-0.29858657243816256
44,raw_temporal_pyramid,raw_temporal,raw_temporal,94,0.9780529671407553,0.769434628975265,0,0,0,135346,0.9975456776656667,0.09931821886831796,0.09931821886831796,input_event_rate,0.0,0.0,5.268815412999174,0.06137732199931634,36886.58817706673,0.0,0.05521201413427568,0.2742932862190813,-0.030477031802120136
