seed,model,train_samples,test_samples,feature_dim,trainable_parameters,classifier_hidden_units,frozen_active_edges,mean_hidden_spike_rate,train_accuracy,test_accuracy,feature_seconds,feature_examples_per_second,train_seconds,inference_seconds,inference_examples_per_second,feature,classifier,topology,paired_sensor_test_accuracy,accuracy_gain_vs_sensor,paired_feedforward_test_accuracy,recurrence_gain
42,raw_intensity_linear,20000,5000,64,650,0,0,0.0,0.83975,0.8598,0.0,0.0,0.7436395280001307,0.002206939000643615,2265581.4222966004,raw_intensity,linear,raw,0.8978,-0.038000000000000034,0.8598,0.0
42,raw_intensity_mlp,20000,5000,64,34210,456,0,0.0,0.9541,0.949,0.0,0.0,0.8537011270000221,0.0030445290003626724,1642290.1537165146,raw_intensity,mlp,raw,0.922,0.026999999999999913,0.949,0.0
42,sensor_temporal_linear,20000,5000,512,5130,0,0,0.0,0.904,0.8978,0.4546897429991077,54982.546637409105,0.9442312910005057,0.0052095840001129545,959769.5324408993,sensor_temporal,linear,sensor,0.8978,0.0,0.8978,0.0
42,sensor_temporal_mlp,20000,5000,512,34005,65,0,0.0,0.94915,0.922,0.4546897429991077,54982.546637409105,1.073274493000099,0.005846582999765815,855200.3794695594,sensor_temporal,mlp,sensor,0.922,0.0,0.922,0.0
42,hidden_feedforward_temporal_linear,20000,5000,512,5130,0,128,0.021084081381559372,0.8956,0.897,0.5914002320005238,42272.55697116104,1.009697020999738,0.005448675000479852,917654.292017722,hidden_feedforward_temporal,linear,feedforward,0.8978,-0.0008000000000000229,0.897,0.0
42,hidden_feedforward_temporal_mlp,20000,5000,512,34005,65,128,0.021084081381559372,0.9381,0.9268,0.5914002320005238,42272.55697116104,1.143306477000806,0.006042136999894865,827521.7857666918,hidden_feedforward_temporal,mlp,feedforward,0.922,0.0047999999999999154,0.9268,0.0
42,full_feedforward_temporal_linear,20000,5000,1024,10250,0,128,0.021084081381559372,0.9227,0.9144,0.5914002320005238,42272.55697116104,1.1556738150002275,0.007594615999551024,658361.1337683944,full_feedforward_temporal,linear,feedforward,0.8978,0.016599999999999948,0.9144,0.0
42,full_feedforward_temporal_mlp,20000,5000,1024,34165,33,128,0.021084081381559372,0.9466,0.925,0.5914002320005238,42272.55697116104,1.3577268460003324,0.008298007000121288,602554.3241801215,full_feedforward_temporal,mlp,feedforward,0.922,0.0030000000000000027,0.925,0.0
42,hidden_recurrent_temporal_linear,20000,5000,512,5130,0,384,0.024028711020946503,0.89915,0.8962,0.4546897429991077,54982.546637409105,0.9227669110005081,0.005191639000258874,963086.9942518503,hidden_recurrent_temporal,linear,recurrent,0.8978,-0.0016000000000000458,0.897,-0.0008000000000000229
42,hidden_recurrent_temporal_mlp,20000,5000,512,34005,65,384,0.024028711020946503,0.9405,0.9244,0.4546897429991077,54982.546637409105,1.1667549579997285,0.006405981000170868,780520.5791067182,hidden_recurrent_temporal,mlp,recurrent,0.922,0.0023999999999999577,0.9268,-0.0023999999999999577
42,full_recurrent_temporal_linear,20000,5000,1024,10250,0,384,0.024028711020946503,0.9245,0.9148,0.4546897429991077,54982.546637409105,1.2307601290003731,0.008237121999627561,607008.1273806645,full_recurrent_temporal,linear,recurrent,0.8978,0.016999999999999904,0.9144,0.00039999999999995595
42,full_recurrent_temporal_mlp,20000,5000,1024,34165,33,384,0.024028711020946503,0.9481,0.9246,0.4546897429991077,54982.546637409105,1.3942612519995237,0.009989062999920861,500547.44874865765,full_recurrent_temporal,mlp,recurrent,0.922,0.0025999999999999357,0.925,-0.00040000000000006697
43,raw_intensity_linear,20000,5000,64,650,0,0,0.0,0.8411,0.8578,0.0,0.0,0.6943105159998595,0.002186104000429623,2287173.8942966014,raw_intensity,linear,raw,0.8986,-0.04079999999999995,0.8578,0.0
43,raw_intensity_mlp,20000,5000,64,34210,456,0,0.0,0.95435,0.952,0.0,0.0,0.8282359419999921,0.00289138600055594,1729274.472186912,raw_intensity,mlp,raw,0.918,0.03399999999999992,0.952,0.0
43,sensor_temporal_linear,20000,5000,512,5130,0,0,0.0,0.9036,0.8986,0.3866980020002302,64649.93320546073,0.9348625640004684,0.005080441999780305,984166.3383257237,sensor_temporal,linear,sensor,0.8986,0.0,0.8986,0.0
43,sensor_temporal_mlp,20000,5000,512,34005,65,0,0.0,0.94895,0.918,0.3866980020002302,64649.93320546073,1.0689498319998165,0.005678229000295687,880556.2438111656,sensor_temporal,mlp,sensor,0.918,0.0,0.918,0.0
43,hidden_feedforward_temporal_linear,20000,5000,512,5130,0,128,0.02352285198867321,0.89165,0.8932,0.4632196530001238,53970.076265294636,0.9549729010004739,0.005186829999729525,963979.9261322874,hidden_feedforward_temporal,linear,feedforward,0.8986,-0.00539999999999996,0.8932,0.0
43,hidden_feedforward_temporal_mlp,20000,5000,512,34005,65,128,0.02352285198867321,0.93105,0.9188,0.4632196530001238,53970.076265294636,1.0690286529998048,0.005800651999379625,861972.0680597192,hidden_feedforward_temporal,mlp,feedforward,0.918,0.0007999999999999119,0.9188,0.0
