feature,classifier,seeds,mean_test_accuracy,std_test_accuracy,mean_train_accuracy,feature_dim,trainable_parameters,classifier_hidden_units,frozen_active_edges,mean_hidden_event_rate,mean_feature_seconds,mean_feature_examples_per_second,mean_train_seconds
raw_intensity,linear,3,0.8593999999999999,0.001177568115510388,0.8410666666666667,64,650,0,0,0.0,0.0,0.0,0.741394426666678
raw_intensity,mlp,3,0.9514,0.0017663521732656012,0.9538333333333333,64,34210,456,0,0.0,0.0,0.0,0.925960342333307
flattened_latency,linear,3,0.8810666666666668,0.00041096093353126784,0.8863,512,5130,0,0,0.0,0.48520495100001426,51524.61851115626,1.0065029833333483
flattened_latency,mlp,3,0.914,0.0013063945294843537,0.9474333333333332,512,34005,65,0,0.0,0.48520495100001426,51524.61851115626,1.1721165419999882
full_summary,linear,3,0.794,0.005455272678794336,0.7887666666666666,256,2570,0,384,0.02367747388780117,0.23997922366659927,104676.39710979997,0.8590048200001092
full_summary,mlp,3,0.8599333333333332,0.00667399597109724,0.8610833333333333,256,34186,128,384,0.02367747388780117,0.23997922366659927,104676.39710979997,0.9763807876667366
sensor_temporal,linear,3,0.8979333333333334,0.0006182412330330826,0.9041666666666667,512,5130,0,0,0.0,0.48077267533327966,52382.472795970425,0.9770947276667054
sensor_temporal,mlp,3,0.9222,0.00016329931618552722,0.9525,512,34005,65,0,0.0,0.48077267533327966,52382.472795970425,1.102983012666679
hidden_temporal,linear,3,0.8952666666666667,0.003488393453853645,0.8954333333333334,512,5130,0,384,0.02367747388780117,0.48077267533327966,52382.472795970425,0.9664558059999612
hidden_temporal,mlp,3,0.9240666666666666,0.003065217048686019,0.9381333333333334,512,34005,65,384,0.02367747388780117,0.48077267533327966,52382.472795970425,1.0917055113333543
full_temporal,linear,3,0.9152,0.0005887840577552129,0.92365,1024,10250,0,384,0.02367747388780117,0.48077267533327966,52382.472795970425,1.2140328539999246
full_temporal,mlp,3,0.9243333333333332,0.0012256517540566842,0.9499,1024,34165,33,384,0.02367747388780117,0.48077267533327966,52382.472795970425,1.3793950353333457
raw_plus_hidden_temporal,linear,3,0.9062666666666667,0.0010873004286867094,0.9046500000000001,576,5770,0,384,0.02367747388780117,0.48077267533327966,52382.472795970425,1.041295363666677
raw_plus_hidden_temporal,mlp,3,0.9314666666666667,0.00338755893757666,0.9452333333333334,576,34056,58,384,0.02367747388780117,0.48077267533327966,52382.472795970425,1.228995460999992
