model,seeds,mean_test_accuracy,std_test_accuracy,mean_train_accuracy,feature_dim,trainable_parameters,classifier_hidden_units,frozen_active_edges,mean_hidden_spike_rate,mean_feature_seconds,mean_train_seconds,mean_inference_examples_per_second
raw_pixel_linear,3,0.8593999999999999,0.001177568115510388,0.8410666666666667,64,650,0,0,0.0,0.0,0.8453941680000222,1884676.3881847498
raw_pixel_mlp,3,0.9514,0.0017663521732656012,0.9538333333333333,64,34210,456,0,0.0,0.0,0.9033700030000015,1554580.972136794
frozen_ammc_linear,3,0.7930666666666667,0.004461190673152403,0.7893,256,2570,0,384,0.02367747388780117,0.32976304666666084,0.849644144000024,1348028.6138928488
frozen_ammc_mlp,3,0.8610666666666668,0.006613790306792494,0.8623666666666666,256,34186,128,384,0.02367747388780117,0.32976304666666084,1.0227381716666553,1090654.394196097
