arm,hidden_neurons,runs,mean_test_accuracy,std_test_accuracy,minimum_test_accuracy,maximum_test_accuracy,mean_gain_vs_raw_temporal,positive_pair_count_vs_raw,two_point_pair_count_vs_raw,mean_gain_vs_sparse_512,positive_pair_count_vs_512,between_topology_std,mean_within_topology_readout_std,mean_connected_hidden_neurons,effective_model_parameters,parameter_ratio_vs_target,mean_final_activity,mean_train_seconds,mean_test_examples_per_second
raw_temporal_pyramid,0,3,0.7835689045936395,0.022868884680599586,0.752208480565371,0.806095406360424,0.0,0,0,0.0,0,0.0,0.022868884680599586,0.0,132944,0.9948589773331037,0.09931821886831797,5.722187714000635,38732.86318331005
sparse_analog_leaky_512,512,9,0.7805751864939144,0.02160128104052767,0.741166077738516,0.8144876325088339,-0.002993718099725139,3,1,0.0,0,0.010251645541146635,0.01863420107062769,388.0,133631,1.0,0.33594306787416706,29.705550268888853,8176.190443141546
sparse_analog_leaky_1024,1024,9,0.7738025127601099,0.015367871677874415,0.7535335689045937,0.7990282685512368,-0.009766391833529613,3,2,-0.0067726737338044745,4,0.008536355031440785,0.012682883377822045,513.6666666666666,132645,0.9926214725625042,0.19234814623851237,34.59528043255563,7742.539323705881
