arm,hidden_neurons,topology_seed,readout_seed,initial_test_accuracy,train_accuracy,test_accuracy,active_edges,connected_hidden_neurons,effective_model_parameters,parameter_ratio_vs_target,initial_activity,final_activity,train_seconds,inference_seconds,test_examples_per_second,gain_vs_raw_temporal,gain_vs_sparse_512
raw_temporal_pyramid,0,-1,142,0.05123674911660778,0.961010299166258,0.752208480565371,0,0,132944,0.9948589773331038,0.09931821886831796,0.09931821886831796,6.074011055001392,0.05875729999934265,38531.38248396929,0.0,0.0
raw_temporal_pyramid,0,-1,143,0.06713780918727916,0.9691025012260912,0.806095406360424,0,0,132944,0.9948589773331038,0.09931821886831796,0.09931821886831796,5.167413777000547,0.05355051100013952,42277.84119546686,0.0,0.0
raw_temporal_pyramid,0,-1,144,0.037544169611307424,0.9661598822952427,0.7924028268551236,0,0,132944,0.9948589773331038,0.09931821886831796,0.09931821886831796,5.925138309999966,0.0639740200003871,35389.365870494,0.0,0.0
sparse_analog_leaky_512,512,42,142,0.053003533568904596,0.8895291809710643,0.8007950530035336,700,397,133631,1.0,0.33906705872330145,0.33906705872330145,29.913089854000646,0.26508287000069686,8540.725396529955,0.048586572438162556,0.0
sparse_analog_leaky_1024,1024,42,142,0.06139575971731449,0.890387444825895,0.7734098939929329,700,523,132645,0.9926214725625042,0.19372165787556989,0.19372165787556989,34.01291220300118,0.27950436900027853,8100.052275024524,0.021201413427561877,-0.02738515901060068
sparse_analog_leaky_512,512,42,143,0.053003533568904596,0.8716282491417362,0.8144876325088339,700,397,133631,1.0,0.33906705872330145,0.33906705872330145,29.260207291999905,0.27371603900064656,8271.345764997908,0.008392226148409954,0.0
sparse_analog_leaky_1024,1024,42,143,0.04991166077738516,0.8856056890632663,0.7990282685512368,700,523,132645,0.9926214725625042,0.19372165787556989,0.19372165787556989,34.33669553599975,0.28580295400024625,7921.541636683186,-0.007067137809187218,-0.015459363957597172
sparse_analog_leaky_512,512,42,144,0.05609540636042403,0.874816086316822,0.7698763250883393,700,397,133631,1.0,0.33906705872330145,0.33906705872330145,29.115916388998812,0.27182943200023146,8328.752274323526,-0.02252650176678439,0.0
sparse_analog_leaky_1024,1024,42,144,0.053003533568904596,0.8658656204021579,0.7800353356890459,700,523,132645,0.9926214725625042,0.19372165787556989,0.19372165787556989,34.26752361400031,0.28668065199963166,7897.289141099445,-0.012367491166077715,0.010159010600706675
sparse_analog_leaky_512,512,43,142,0.05035335689045936,0.8261402648357038,0.741166077738516,700,378,133631,1.0,0.33281759901939767,0.33281759901939767,29.23842593900008,0.27338515799965535,8281.356663856837,-0.011042402826855091,0.0
sparse_analog_leaky_1024,1024,43,142,0.02120141342756184,0.8545855811672388,0.7544169611307421,700,513,132645,0.9926214725625042,0.19204679357921275,0.19204679357921275,34.23092368200014,0.2993484190010349,7563.09322613183,0.0022084805653710404,0.013250883392226132
sparse_analog_leaky_512,512,43,143,0.04372791519434629,0.883030897498774,0.7919611307420494,700,378,133631,1.0,0.33281759901939767,0.33281759901939767,29.987971628001105,0.2705587550008204,8367.868191857755,-0.014134275618374548,0.0
sparse_analog_leaky_1024,1024,43,143,0.054328621908127206,0.859980382540461,0.7778268551236749,700,513,132645,0.9926214725625042,0.19204679357921275,0.19204679357921275,34.67283652799961,0.2942505210012314,7694.124014789852,-0.028268551236749095,-0.014134275618374548
sparse_analog_leaky_512,512,43,144,0.055212014134275615,0.9102501226091221,0.7888692579505301,700,378,133631,1.0,0.33281759901939767,0.33281759901939767,29.458548661999885,0.275879253000312,8206.488800364554,-0.0035335689045935537,0.0
sparse_analog_leaky_1024,1024,43,144,0.0446113074204947,0.8878126532614027,0.7897526501766784,700,513,132645,0.9926214725625042,0.19204679357921275,0.19204679357921275,35.096872250998786,0.30203459199947247,7495.830146514987,-0.0026501766784452485,0.0008833922261483051
sparse_analog_leaky_512,512,44,142,0.045936395759717315,0.8717508582638548,0.7614840989399293,700,389,133631,1.0,0.3359445458798021,0.3359445458798021,29.881153979000374,0.2735912449988973,8275.118598949044,0.009275618374558259,0.0
sparse_analog_leaky_1024,1024,44,142,0.044169611307420496,0.8804561059342815,0.7809187279151943,700,505,132645,0.9926214725625042,0.19127598726075445,0.19127598726075445,34.741977420000694,0.2953929989998869,7664.365803066534,0.028710247349823304,0.019434628975265045
sparse_analog_leaky_512,512,44,143,0.053003533568904596,0.881069151544875,0.7924028268551236,700,389,133631,1.0,0.3359445458798021,0.3359445458798021,29.57334074999926,0.28781193099894153,7866.247907590482,-0.01369257950530034,0.0
sparse_analog_leaky_1024,1024,44,143,0.04770318021201413,0.8542177538008828,0.7553003533568905,700,505,132645,0.9926214725625042,0.19127598726075445,0.19127598726075445,34.67399705800017,0.28686871900026745,7892.111792076881,-0.050795053003533486,-0.037102473498233146
sparse_analog_leaky_512,512,44,144,0.05653710247349823,0.866969102501226,0.7641342756183745,700,389,133631,1.0,0.3359445458798021,0.3359445458798021,30.921297926999614,0.30398195999987365,7447.810389803859,-0.028268551236749095,0.0
sparse_analog_leaky_1024,1024,44,144,0.053003533568904596,0.8635360470819029,0.7535335689045937,700,505,132645,0.9926214725625042,0.19127598726075445,0.19127598726075445,35.323785601000054,0.3037113739992492,7454.4458779656925,-0.03886925795052998,-0.010600706713780883
