group,neuron_count,hidden_neurons,max_edges,seed,generation,epoch_best_fitness,all_time_best_fitness,selection_best_fitness,mean_population_fitness,selection_mean_fitness,mean_active_synapses,active_edge_utilization,fitness_per_active_synapse,mean_hidden_edges,mean_hidden_edge_fraction,mean_direct_sensor_motor_fraction,sprout_count,prune_count,low_ltw_prune_count,ltw_mutation_count
low_ltw_pruning,16,4,128,42,1,7.0,7.0,7.0,-0.3953999876976013,-0.3953999876976013,9.159599304199219,0.0715593695640564,0.7642255700848016,0.5476999878883362,0.04935701936483383,0.9068191051483154,11978,382,0,40000
low_ltw_pruning,16,4,128,42,2,10.0,10.0,10.0,-0.14079999923706055,-0.14079999923706055,10.278999328613281,0.08030468225479126,0.9728573453802414,1.0753999948501587,0.0899658054113388,0.8300792574882507,11994,736,288,45766
low_ltw_pruning,16,4,128,42,3,12.0,12.0,12.0,-0.5170999765396118,-0.5170999765396118,11.367599487304688,0.08880937099456787,1.0556318432402176,1.5936999320983887,0.12389909476041794,0.7655179500579834,11904,1046,545,51409
low_ltw_pruning,16,4,128,42,4,12.0,12.0,12.0,0.4267999827861786,0.4267999827861786,12.380000114440918,0.09671875089406967,0.9693053222190476,2.0607998371124268,0.14995042979717255,0.7146610021591187,11684,1368,791,56742
low_ltw_pruning,16,4,128,42,5,12.0,12.0,12.0,-0.7058999538421631,-0.7058999538421631,13.329400062561035,0.10413593798875809,0.9002655741202495,2.5023000240325928,0.17182275652885437,0.6719892024993896,11557,1585,998,61661
low_ltw_pruning,16,4,128,42,6,14.0,14.0,14.0,-0.029999999329447746,-0.029999999329447746,14.324199676513672,0.11190780997276306,0.9773669954458092,2.966099977493286,0.19166357815265656,0.6331632733345032,11437,1845,1232,66825
low_ltw_pruning,16,4,128,42,7,14.0,14.0,14.0,-0.34769999980926514,-0.34769999980926514,15.27489948272705,0.11933515220880508,0.9165363095077179,3.4163999557495117,0.20937632024288177,0.5988997220993042,11435,2146,1422,71730
low_ltw_pruning,16,4,128,42,8,18.0,18.0,18.0,0.1394999921321869,0.1394999921321869,16.168800354003906,0.12631875276565552,1.1132551337083354,3.8011999130249023,0.22239746153354645,0.5717166066169739,11313,2277,1555,76326
low_ltw_pruning,16,4,128,42,9,15.0,18.0,15.0,-0.2547000050544739,-0.2547000050544739,17.031700134277344,0.13306015729904175,0.8807106678570261,4.195899963378906,0.23447898030281067,0.5481879115104675,11302,2497,1723,80756
low_ltw_pruning,16,4,128,42,10,13.0,18.0,13.0,-0.12889999151229858,-0.12889999151229858,17.844799041748047,0.13941249251365662,0.7285035807680658,4.592199802398682,0.24663829803466797,0.5256744623184204,11120,2776,1929,85052
low_ltw_pruning,16,4,128,42,11,14.0,18.0,14.0,-0.7378000020980835,-0.7378000020980835,18.64780044555664,0.14568594098091125,0.7507587847088899,4.980599880218506,0.25682464241981506,0.5059231519699097,11013,2901,2013,89183
low_ltw_pruning,16,4,128,42,12,16.0,18.0,16.0,-0.2078000009059906,-0.2078000009059906,19.44659996032715,0.15192656219005585,0.8227659350550467,5.326299667358398,0.2644565999507904,0.4882727563381195,11016,3138,2264,93294
low_ltw_pruning,16,4,128,42,13,15.0,18.0,15.0,-0.14010000228881836,-0.14010000228881836,20.21419906616211,0.15792343020439148,0.7420526507582236,5.682199954986572,0.2724792957305908,0.4730139970779419,11029,3319,2347,97216
low_ltw_pruning,16,4,128,42,14,18.0,18.0,18.0,0.29249998927116394,0.29249998927116394,20.988800048828125,0.16397500038146973,0.8576002419445127,6.046000003814697,0.2801285982131958,0.45834457874298096,10916,3530,2561,101251
low_ltw_pruning,16,4,128,42,15,16.0,18.0,16.0,0.7295999526977539,0.7295999526977539,21.69339942932129,0.16947968304157257,0.7375515327659545,6.382699966430664,0.28687119483947754,0.44607263803482056,10754,3742,2722,104961
low_ltw_pruning,16,4,128,42,16,17.0,18.0,17.0,-0.2994999885559082,-0.2994999885559082,22.36240005493164,0.17470625042915344,0.7602046273316242,6.717099666595459,0.2935287654399872,0.4346453845500946,10868,3920,2835,108338
low_ltw_pruning,16,4,128,42,17,16.0,18.0,16.0,-0.3506999909877777,-0.3506999909877777,22.980798721313477,0.17953749001026154,0.6962334161675958,7.0177998542785645,0.2990051805973053,0.42442038655281067,10788,3980,2887,111500
low_ltw_pruning,16,4,128,42,18,18.0,18.0,18.0,0.2937999963760376,0.2937999963760376,23.602998733520508,0.18439842760562897,0.762614962752032,7.327899932861328,0.30462461709976196,0.41661277413368225,10547,4103,2989,114793
low_ltw_pruning,16,4,128,42,19,18.0,18.0,18.0,0.48019999265670776,0.48019999265670776,24.23309898376465,0.18932108581066132,0.7427857250968762,7.615099906921387,0.30879178643226624,0.4084838032722473,10595,4276,3126,118006
low_ltw_pruning,16,4,128,42,20,17.0,18.0,17.0,-0.12619999051094055,-0.12619999051094055,24.86119842529297,0.19422811269760132,0.6837964811344234,7.950099945068359,0.31484517455101013,0.39879608154296875,10458,4306,3096,121230
low_ltw_pruning,16,4,128,42,21,16.0,18.0,16.0,-0.5735999941825867,-0.5735999941825867,25.49519920349121,0.19918124377727509,0.6275691306545674,8.254300117492676,0.3187875747680664,0.3912610113620758,10447,4451,3255,124478
