seed,strategy,adaptation_samples,source_accuracy,shifted_accuracy,activity,state_contribution,state_specificity,mean_absolute_gate,test_examples_per_second,cumulative_adaptation_seconds,adaptation_trainable_parameters
154,dropout_tcn_static,0,0.6045530369934256,0.5693258757727406,0.27895341274747903,,,0.0,11254.61874006063,0.0,0
154,dropout_tcn_static,64,0.6045530369934256,0.5693258757727406,0.27895341274747903,,,0.0,11481.477346126168,0.0,0
154,dropout_tcn_static,256,0.6045530369934256,0.5693258757727406,0.27895341274747903,,,0.0,11461.90542662071,0.0,0
154,dropout_tcn_static,1024,0.6045530369934256,0.5693258757727406,0.27895341274747903,,,0.0,11514.97463158356,0.0,0
154,dropout_tcn_static,4096,0.6045530369934256,0.5693258757727406,0.27895341274747903,,,0.0,10042.46432537503,0.0,0
154,dropout_tcn_readout,0,0.6045530369934256,0.5693258757727406,0.27895341274747903,,,0.0,6824.891574985276,0.0,16835
154,dropout_tcn_readout,64,0.6045039740947895,0.5690805612795604,0.27895341274747903,,,0.0,11425.086691443497,0.025664752000011504,16835
154,dropout_tcn_readout,256,0.6047492885879697,0.5714355804140908,0.27895341274747903,,,0.0,11022.148985131058,0.0899422289994618,16835
154,dropout_tcn_readout,1024,0.6001373761161809,0.583897556667648,0.27895341274747903,,,0.0,10987.950572002062,0.3469064749997415,16835
154,dropout_tcn_readout,4096,0.6026395839466195,0.5912079285644196,0.27895341274747903,,,0.0,9459.52225939977,1.322330453000177,16835
154,dropout_tcn_full_finetune,0,0.6045530369934256,0.5693258757727406,0.27895341274747903,,,0.0,6878.440675493119,0.0,131971
154,dropout_tcn_full_finetune,64,0.588705720733981,0.5676086743204789,0.2936419687295917,,,0.0,11562.073495200108,0.031263715000022785,131971
154,dropout_tcn_full_finetune,256,0.583014424492199,0.5673633598272986,0.305503189011044,,,0.0,11501.814029686357,0.10411982200002967,131971
154,dropout_tcn_full_finetune,1024,0.586890393484447,0.5875282111667157,0.30927332537691954,,,0.0,11599.890234599674,0.38850782699955744,131971
154,dropout_tcn_full_finetune,4096,0.6001864390148169,0.6026886468452556,0.3149041823656048,,,0.0,8548.645566386274,1.4523669159989367,131971
154,analog_state_adapter,0,0.6045530369934256,0.5693258757727406,0.4398547128236232,0.0,0.0,0.0,6878.60944585554,0.0,16867
154,analog_state_adapter,64,0.6045530369934256,0.5692768128741046,0.43987928717939534,-4.906289863604307e-05,0.0,0.002965515712276101,8838.588791244674,0.08800649699969654,16867
154,analog_state_adapter,256,0.6047983514866059,0.5700618192522814,0.44004340703641104,0.0007359434795407571,0.0003434402904523015,0.00448876665905118,9054.739827222213,0.1871865289995185,16867
154,analog_state_adapter,1024,0.6047002256893337,0.5706996369345501,0.4409738739881346,0.001373761161809428,9.812579727208615e-05,0.008242256939411163,5811.605456232256,0.554407867000009,16867
154,analog_state_adapter,4096,0.6101952703365715,0.5832106760867432,0.4466752632918717,0.013884800314002521,-0.00034344029045241253,0.029526693746447563,9505.128988027678,2.012704636000308,16867
154,lif_state_adapter,0,0.6045530369934256,0.5693258757727406,0.15539798725401147,0.0,0.0,0.0,7239.60028878686,0.0,16899
154,lif_state_adapter,64,0.6046020998920616,0.5693749386713767,0.15545689675106336,4.906289863604307e-05,0.0,0.0029354372527450323,5805.92315078315,0.2269727699995201,16899
154,lif_state_adapter,256,0.6046511627906976,0.569571190265921,0.15558190158340862,0.0002453144931803264,0.00014718869590824024,0.0045524523593485355,7529.652286608852,0.38917770699936227,16899
154,lif_state_adapter,1024,0.6046511627906976,0.5702580708468257,0.15626212198569817,0.0009321950740850404,-4.906289863604307e-05,0.009010880254209042,7893.073029931826,0.9789337029988019,16899
154,lif_state_adapter,4096,0.6076439996074968,0.5779609459326857,0.16102048035002986,0.008635070159945024,0.0014228240604454712,0.03461913391947746,8058.990720779904,3.2225948149989563,16899
155,dropout_tcn_static,0,0.6201059758610539,0.5829653615935629,0.29418974237216955,,,0.0,10509.954826868176,0.0,0
155,dropout_tcn_static,64,0.6201059758610539,0.5829653615935629,0.29418974237216955,,,0.0,10483.050404196742,0.0,0
155,dropout_tcn_static,256,0.6201059758610539,0.5829653615935629,0.29418974237216955,,,0.0,6447.221902282667,0.0,0
155,dropout_tcn_static,1024,0.6201059758610539,0.5829653615935629,0.29418974237216955,,,0.0,9407.537592827004,0.0,0
155,dropout_tcn_static,4096,0.6201059758610539,0.5829653615935629,0.29418974237216955,,,0.0,10674.186142534085,0.0,0
155,dropout_tcn_readout,0,0.6201059758610539,0.5829653615935629,0.29418974237216955,,,0.0,10632.10791259672,0.0,16835
