strategy,runs,mean_source_initial_accuracy,mean_shifted_initial_accuracy,mean_shift_drop,mean_source_final_accuracy,mean_shifted_final_accuracy,mean_adaptation_gain,two_point_gain_seed_count,mean_forgetting,mean_adaptation_auc,mean_activity,mean_state_contribution,state_contribution_seed_count,mean_state_specificity,state_specificity_seed_count,mean_absolute_gate,mean_test_examples_per_second,mean_cumulative_adaptation_seconds,adaptation_trainable_parameters
dropout_tcn_full_finetune,3,0.6091322408661237,0.5700291106531907,0.039103130212932956,0.6020998920616231,0.602983024237072,0.03295391358388119,3,0.007032348804500692,0.5893637257547509,0.31930731592100203,0.0,0,0.0,0,0.0,10075.920384135688,1.7069190523328264,131971
dropout_tcn_readout,3,0.6091322408661237,0.5700291106531907,0.039103130212932956,0.6003499820102705,0.5933339875053152,0.02330487685212442,2,0.00878225885585319,0.583907905872829,0.2904208085899034,0.0,0,0.0,0,0.0,9536.107802084494,1.5764110486676752,16835
analog_state_adapter,3,0.6091322408661237,0.5700291106531907,0.039103130212932956,0.6096719327511203,0.5835541163771955,0.013525005724004798,0,-0.0005396918849965848,0.5757467270958034,0.46189204259307587,0.013525005724004798,3,0.0001798972949988246,0,0.026367335269848507,8031.090187499696,2.233846133667612,16867
lif_state_adapter,3,0.6091322408661237,0.5700291106531907,0.039103130212932956,0.610407876230661,0.5778628201354136,0.00783370948222284,0,-0.001275635364537342,0.5732436248896086,0.16782032341789507,0.00783370948222284,3,0.00011448009681743383,0,0.0328382837275664,7248.675210644979,3.1762704419991983,16899
dropout_tcn_static,3,0.6091322408661237,0.5700291106531907,0.039103130212932956,0.6091322408661237,0.5700291106531907,0.0,0,0.0,0.5700291106531907,0.2904208085899034,0.0,0,0.0,0,0.0,9354.338207925732,0.0,0
